last_name,first_name,player_id,team_id,team,position,age,competitive_runs,hp_to_1b,sprint_speed
Grandal,Yasmani,518735,158,MIL,C,31,34,,24.4
Bird,Greg,595885,147,NYY,1B,27,12,,24.4
Sandoval,Pablo,467055,137,SF,3B,33,32,,24.4
Maldonado,Martin,455117,118,KC,C,33,43,4.93,24.4
Astudillo,Willians,553902,142,MIN,C,28,27,4.8,24.3
Vogelbach,Daniel,596129,136,SEA,DH,27,31,,24.3
Davis,Chris,448801,110,BAL,1B,33,29,4.83,24.3
Kratz,Erik,456124,137,SF,C,39,14,,24.2
Narvaez,Omar,553882,136,SEA,C,27,36,,24.1
Duda,Lucas,446263,118,KC,DH,33,10,,24
Posey,Buster,457763,137,SF,C,32,50,4.85,23.9
Encarnacion,Edwin,429665,136,SEA,1B,36,31,,23.9
Iannetta,Chris,455104,115,COL,C,36,13,,23.9
Hedges,Austin,595978,135,SD,C,27,22,,23.9
Bour,Justin,571506,108,LAA,1B,31,42,4.86,23.8
Cabrera,Miguel,408234,116,DET,DH,36,42,,23.7
Castillo,Welington,456078,145,CWS,C,32,22,4.99,23.6
Barnhart,Tucker,571466,113,CIN,C,28,25,,23.6
Sucre,Jesus,491696,110,BAL,C,31,23,4.98,23.6
Wallach,Chad,595453,146,MIA,C,28,21,,23.5
Frazier,Todd,453943,121,NYM,3B,33,14,,23.5
Morales,Kendrys,434778,133,OAK,1B,36,38,,23.5
Smoak,Justin,475253,141,TOR,1B,33,35,,23.2
Alonso,Yonder,475174,145,CWS,DH,32,38,,23.2
Aguilar,Jesus,542583,158,MIL,1B,29,32,,23.1
Molina,Yadier,425877,138,STL,C,37,63,,23.1
Pujols,Albert,405395,108,LAA,DH,39,38,,22.9
Ramos,Wilson,467092,121,NYM,C,32,61,5.09,22.8
McCann,Brian,435263,144,ATL,C,35,26,,22.3
